expression,reading,meaning
初,しょ,first ~
諸,しょ,various ~
女,じょ,things done by women
省,しょう,economizing ~
消化,しょうか,digestion
小学生,しょうがくせい,elementary school pupil
将棋,しょうぎ,Japanese chess
蒸気,じょうき,"steam, vapor"
定規,じょうぎ,measuring ruler
上級,じょうきゅう,"advanced level, high grade, senior"
商業,しょうぎょう,"commerce, trade, business"
消極的,しょうきょくてき,passive
賞金,しょうきん,"prize, monetary award"
上下,じょうげ,"high and low, up and down"
障子,しょうじ,paper sliding door
商社,しょうしゃ,trading company
乗車,じょうしゃ,"taking a train, entraining"
上旬,じょうじゅん,first 10 days of month
小数,しょうすう,"fraction part of, decimal"
生ずる,しょうずる,"to cause, to arise, to be generated"
商店,しょうてん,"shop, business firm"
焦点,しょうてん,"focus, point"
消毒,しょうどく,disinfection
勝敗,しょうはい,"victory or defeat, issue of battle"
蒸発,じょうはつ,evaporation; unexplained disappearance
賞品,しょうひん,"prize, trophy"
上品,じょうひん,"refined, elegant, well-mannered"
勝負,しょうぶ,"victory or defeat, game"
小便,しょうべん,"col urine, piss"
消防署,しょうぼうしょ,fire station
正味,しょうみ,net weight
正面,しょうめん,front
消耗,しょうもう,"exhaustion, consumption"
省略,しょうりゃく,"omission, abbreviation, abridgment"
初級,しょきゅう,elementary level
助教授,じょきょうじゅ,assistant professor
食塩,しょくえん,table salt
職人,しょくにん,"artisan, craftsman"
職場,しょくば,workplace
初旬,しょじゅん,first 10 days of the month
書籍,しょせき,"book, publication"
食器,しょっき,tableware
ショップ,ショップ,a shop
書店,しょてん,bookshop
書道,しょどう,calligraphy
初歩,しょほ,"elements, rudiments"
白髪,しらが,"white or grey hair, trendy hair bleaching"
知り合い,しりあい,acquaintance
私立,しりつ,private establishment
資料,しりょう,"materials, data"
汁,しる,"juice, soup"
素人,しろうと,"layman, amateur, novice"
芯,しん,"core, heart, wick"
新幹線,しんかんせん,"Shinkansen, ""Bullet Train"""
真空,しんくう,vacuum
人事,じんじ,"human resources, personnel management"
心身,しんしん,mind and body
信ずる,しんずる,to believe
申請,しんせい,"application, request, petition"
人造,じんぞう,"man-made, synthetic, artificial"
寝台,しんだい,bed
診断,しんだん,diagnosis
侵入,しんにゅう,"invasion, raid, trespass"
人文科学,じんぶんかがく,"social sciences, humanities"
人命,じんめい,human life
深夜,しんや,late at night
森林,しんりん,"forest, woods"
親類,しんるい,relatives same as 親戚 しんせき
針路,しんろ,"course, direction"
神話,しんわ,"myth, legend"
酢,す,vinegar
水産,すいさん,"marine products, fisheries"
炊事,すいじ,cooking
水蒸気,すいじょうき,"water vapor, steam"
水素,すいそ,hydrogen
垂直,すいちょく,"vertical, perpendicular"
推定,すいてい,"presumption, assumption, estimation"
水滴,すいてき,drop of water
水筒,すいとう,"canteen, flask, water bottle"
随筆,ずいひつ,"essays, miscellaneous writings"
水分,すいぶん,moisture
水平,すいへい,"level, horizontal"
水平線,すいへいせん,horizon
水面,すいめん,water's surface
水曜,すいよう,Wednesday
図々しい,ずうずうしい,"impudent, shameless"
末っ子,すえっこ,youngest child
図鑑,ずかん,picture book
隙,すき,"unguarded moment, chance"
杉,すぎ,Japanese cedar
好き嫌い,すききらい,"likes and dislikes, taste"
好き好き,すきずき,matter of taste
透き通る,すきとおる,to become transparent
隙間,すきま,"crack, gap, opening"
少なくとも,すくなくとも,at least
図形,ずけい,figure
鈴,すず,bell
涼む,すずむ,"to cool oneself, to cool off"
素直,すなお,"obedient, meek, docile"
頭脳,ずのう,"head, brains, intellect"
図表,ずひょう,"chart, diagram, graph"
住まい,すまい,"dwelling, house"
すまない,すまない,sorry phrase
相撲,すもう,sumo wrestling
狡い,ずるい,"sly, cunning"
寸法,すんぽう,"measurement, size, dimension"
姓,せい,"surname, family name"
税関,ぜいかん,customs
製作,せいさく,"manufacture, production"
制作,せいさく,"work e.g., film, book"
性質,せいしつ,"nature, property, disposition"
清書,せいしょ,clean copy
青少年,せいしょうねん,"youth, young person"
整数,せいすう,integer
清掃,せいそう,cleaning
生存,せいぞん,"existence, being, survival"
生長,せいちょう,growth of a plant
政党,せいとう,member of political party
生年月日,せいねんがっぴ,date of birth
性能,せいのう,"ability, capability"
整備,せいび,"maintenance, overhaul"
成分,せいぶん,"ingredient, component, composition"
性別,せいべつ,"sex, gender"
正方形,せいほうけい,square
正門,せいもん,"main gate, main entrance"
成立,せいりつ,"formation, establishment, completion"
西暦,せいれき,"Christian Era, after Christ’s death A.D."
背負う,せおう,to be burdened with; to carry on one's back or shoulders
赤道,せきどう,equator
折角,せっかく,"with trouble, at great pains, long-awaited"
接近,せっきん,"getting closer, drawing nearer, approaching"
接する,せっする,to attend to someone; to associate with
せっせと,せっせと,"busily, away"
接続,せつぞく,"connection, union, join, link; changing trains"
瀬戸物,せともの,"earthenware, crockery, china"
迫る,せまる,"to draw near, to press"
ゼミ,ゼミ,seminar
攻める,せめる,"to attack, to assault, to assail"
台詞,せりふ,"speech, words, one's lines, remarks"
栓,せん,"stopper, cork, stopcock"
前,ぜん,"former, late ~, past ~"
前後,ぜんご,"front and back, before and after"
洗剤,せんざい,"detergent, cleanser, cleaning agent, washing material"
全集,ぜんしゅう,complete works
全身,ぜんしん,"whole body, full-length e.g., portrait systemic"
扇子,せんす,folding fan
専制,せんせい,"despotism, autocracy"
先々月,せんせんげつ,month before last
先々週,せんせんしゅう,2 weeks before
先祖,せんぞ,ancestor
先端,せんたん,"pointed end, tip"
宣伝,せんでん,"publicity, advertisement, advertising, propaganda"
先頭,せんとう,"head, lead, vanguard"
全般,ぜんぱん,"the whole, general"
扇風機,せんぷうき,electric fan
洗面,せんめん,"wash up one's face, have a wash"
全力,ぜんりょく,"all one's power, whole energy"
線路,せんろ,"line, track, roadbed"
総,そう,"gross, general, entire"
相違,そうい,"difference, discrepancy, variation"
雑巾,ぞうきん,"house-cloth, dust cloth"
増減,ぞうげん,"increase and decrease, fluctuation"
倉庫,そうこ,"storehouse, warehouse"
相互,そうご,"mutual, reciprocal"
創作,そうさく,"production, creation, work"
葬式,そうしき,funeral
造船,ぞうせん,shipbuilding
騒々しい,そうぞうしい,"noisy, boisterous"
増大,ぞうだい,"increase, growth"
送別,そうべつ,"farewell, send-off"
草履,ぞうり,Japanese sandals footwear
総理大臣,そうりだいじん,Prime Minister
送料,そうりょう,"postage, carriage"
属する,ぞくする,"to belong to, to come under"
続々,ぞくぞく,"successively, one after another"
速達,そくたつ,"express, special delivery"
測定,そくてい,measurement
測量,そくりょう,"measurement, surveying"
速力,そくりょく,speed
素質,そしつ,"talent, capability"
祖先,そせん,ancestors
そそっかしい,そそっかしい,"careless, thoughtless"
卒直,そっちょく,"frank, candid, honest"
率直,そっちょく,"frank, candid, straightforward, openhearted, direct, outspoken"
そのころ,そのころ,"in those days, at that time, then"
そのため,そのため,"hence, for that reason"
その他,そのほか,besides
そば,そば,soba buckwheat noodles
剃る,そる,to shave
それなのに,それなのに,"though, although"
それなら,それなら,"If that's the case..., If so..., That being the case..."
それはいけませんね かん,それはいけませんね かん,that's not good
逸れる,それる,"to stray turn from subject, to go astray"
揃える,そろえる,"to collect, to gather, to get together, to complete a collection to arrange, to put in order, to prepare, to get ready to make uniform, to make even, to match"
算盤,そろばん,abacus
存じる,ぞんじる,humble to know
存ずる,ぞんずる,humble to know
損得,そんとく,"loss and gain, advantage and disadvantage"
第,だい,~th
大学院,だいがくいん,graduate school
大工,だいく,carpenter
体系,たいけい,"system, organization"
太鼓,たいこ,"drum, tambourine"
対策,たいさく,"counter-plan, counter-measure"
大して,たいして,"not so much, not very"
対照,たいしょう,"contrast, antithesis, comparison"
大小,だいしょう,size
体制,たいせい,"order, system, structure"
体積,たいせき,"capacity, volume"
大層,たいそう,"very much, greatly"
体操,たいそう,"gymnastics, physical exercises, calisthenics"
大分,だいぶん,"considerably, greatly, a lot"
大木,たいぼく,large tree
題名,だいめい,"title, caption, heading"
代名詞,だいめいし,pronoun
対立,たいりつ,"confrontation, opposition, antagonism"
田植え,たうえ,rice planting
絶えず,たえず,constantly
楕円,だえん,ellipse
高める,たかめる,"to raise, to lift, to boost, to enhance"
耕す,たがやす,"to till, to plow, to cultivate"
滝,たき,waterfall
蓄える,たくわえる,"to save, to store, to lay in stock"
竹,たけ,bamboo
但し,ただし,"but, however, provided that"
畳む,たたむ,"to fold e.g., clothes, umbrella"
立ち止まる,たちどまる,"to stop, to halt, to stand still"
たちまち,たちまち,"instantly, suddenly, all at once"
建つ,たつ,"to be erected, to be built"
脱線,だっせん,"derailment, digression"
妥当,だとう,"proper, appropriate"
例える,たとえる,"to compare, to liken"
頼もしい,たのもしい,"reliable, promising"
足袋,たび,"tabi, Japanese socks with split toe"
溜息,ためいき,a sigh
足る,たる,"to be sufficient, to be enough"
短,たん,short ~
段階,だんかい,"gradation, grade, stage"
短期,たんき,short term
炭鉱,たんこう,"coal mine, coal pit"
短所,たんしょ,"defect, weak point; disadvantage"
たんす,たんす,chest of drawers
淡水,たんすい,fresh water
断水,だんすい,water outage
単数,たんすう,singular number
団地,だんち,housing complex
断定,だんてい,"conclusion, decision"
短編,たんぺん,"short e.g., story, film"
田ぼ,たんぼ,"paddy field, farm"
誓う,ちかう,"to swear, to vow"
地下水,ちかすい,underground water
近々,ちかぢか,"soon, before long"
近付ける,ちかづける,"to bring near, to put close, to let come near"
近寄る,ちかよる,"to approach, to draw near"
力強い,ちからづよい,"powerful, strong, vigorous"
地質,ちしつ,geological features
知人,ちじん,"friend, acquaintance"
地帯,ちたい,"area, zone"
縮む,ちぢむ,"to shrink, to be contracted"
縮める,ちぢめる,"to shorten, to reduce, to shrink"
縮れる,ちぢれる,"to be wavy, to be curled"
地点,ちてん,"site, point on a map"
地名,ちめい,place name
茶色い,ちゃいろい,brown
着々,ちゃくちゃく,steadily
中間,ちゅうかん,"middle, midway, interim"
中旬,ちゅうじゅん,second third of a month
抽象,ちゅうしょう,abstract
中世,ちゅうせい,"Middle Ages, medieval times"
中性,ちゅうせい,"neuter gender, neutral"
中途,ちゅうと,"in the middle, half-way"
中年,ちゅうねん,middle-aged
長,ちょう,long ~
超過,ちょうか,"excess, being more than"
彫刻,ちょうこく,"carving, engraving, sculpture"
長所,ちょうしょ,"strong point, merit; advantage"
長女,ちょうじょ,eldest daughter
調整,ちょうせい,"regulation, adjustment, tuning"
調節,ちょうせつ,"regulation, adjustment, control"
長短,ちょうたん,"length, long and short, +-"
頂点,ちょうてん,"top, summit"
長男,ちょうなん,eldest son
長方形,ちょうほうけい,"rectangle, oblong"
調味料,ちょうみりょう,"condiment, seasoning"
直後,ちょくご,immediately following
直線,ちょくせん,straight line
直前,ちょくぜん,just before
直通,ちょくつう,direct connection
直流,ちょくりゅう,direct current
貯蔵,ちょぞう,"storage, preservation"
直角,ちょっかく,right angle
直径,ちょっけい,diameter
散らかす,ちらかす,"to scatter around, to leave untidy"
散らかる,ちらかる,to be in disorder
塵紙,ちりがみ,"tissue paper, toilet paper"
追加,ついか,"addition, supplement, appendix"
ついで,ついで,"opportunity, occasion"
つうか,つうか,currency
通勤,つうきん,commuting to work
通ずる,つうずる,"to lead, to run, to open"
通知,つうち,"notice, notification"
通帳,つうちょう,bankbook
通訳,つうやく,"interpretation i.e., oral translation interpreter"
通用,つうよう,"popular use, circulation"
通路,つうろ,"passage, pathway"
突き当たり,つきあたり,"end e.g., of street"
突き当たる,つきあたる,"to run into, to collide with"
月日,つきひ,"time, years, days"
次ぐ,つぐ,"to follow, to come after, to come next to"
伝わる,つたわる,"to spread of a rumor, news, etc., to travel, to circulate, to go around, to be passed around, to become known"
突っ込む,つっこむ,"to plunge into, to stick into"
務める,つとめる,"to serve, to act"
努める,つとめる,"to try, to aim"
綱,つな,rope
繋がり,つながり,"connection, link, relationship"
繋がる,つながる,"to be tied together, to be connected to, to be linked to"
粒,つぶ,grain
潰す,つぶす,"to smash, to waste"
潰れる,つぶれる,"to be smashed, to go bankrupt"
つまずく,つまずく,"to stumble, to trip"
躓く,つまずく,"to trip over, to stumble"
詰まる,つまる,"to be blocked, to be packed"
積む,つむ,"to pile up, to stack"
爪,つめ,fingernail or toenail
艶,つや,"gloss, glaze"
強気,つよき,"firm, strong"
釣り合う,つりあう,"to balance, to be in harmony, to suit"
吊る,つる,to hang
吊す,つるす,to hang
手洗い,てあらい,"restroom, lavatory"
低,てい,low ~
定員,ていいん,"fixed number of regular personnel, capacity e.g., of boat"
定価,ていか,established price
低下,ていか,"fall, decline"
定期券,ていきけん,"commuter pass, season ticket"
定休日,ていきゅうび,regular holiday
停止,ていし,"suspension, interruption, stoppage"
停車,ていしゃ,"stopping e.g., train"
停電,ていでん,"power outage, electricity outage, blackout"
出入り,でいり,"in and out, coming and going"
出入口,でいりぐち,exit and entrance
出入り口,でいりぐち,exit and entrance
手入れ,ていれ,"repairs, maintenance"
出来上がり,できあがり,"be finished, ready"
出来上がる,できあがる,"to be finished, to be ready"
的確,てきかく,"precise, accurate"
適確,てきかく,"precise, accurate"
手首,てくび,wrist
凸凹,でこぼこ,"unevenness, roughness, ruggedness"
手頃,てごろ,"moderate, handy"
手ごろ,てごろ,"handy, convenient suitable, reasoanble, moderate"
弟子,でし,"pupil, disciple, apprentice"
でたらめ,でたらめ,"irresponsible utterance, nonsense; random"
手帳,てちょう,notebook
鉄橋,てっきょう,iron bridge
手続き,てつづき,"procedure, legal process, formalities"
鉄砲,てっぽう,gun
手拭い,てぬぐい,hand towel
手前,てまえ,"before, this side"
出迎え,でむかえ,"meeting, reception"
出迎える,でむかえる,"to meet, to greet"
照らす,てらす,"to shine on, to illuminate"
照る,てる,to shine
展開,てんかい,"develop, expansion opposite of compression"
伝記,でんき,"biography, life story"
電球,でんきゅう,light bulb
点数,てんすう,"marks, points, score"
伝染,でんせん,contagion
電池,でんち,battery
電柱,でんちゅう,"telephone pole, telegraph pole, light pole"
点々,てんてん,"here and there, little by little"
転々,てんてん,from one to another
天皇,てんのう,Emperor of Japan
電波,でんぱ,electro-magnetic wave
電流,でんりゅう,electric current
電力,でんりょく,electric power
問い合わせ,といあわせ,inquiry
銅,どう,copper
同,どう,same ~
統一,とういつ,"unity, consolidation, uniformity"
同格,どうかく,"the same rank, equality, apposition"
峠,とうげ,"ridge, mountain pass, difficult part"
統計,とうけい,"scattering, a scatter, dispersion"
動作,どうさ,"action, movements, motions"
東西,とうざい,"East and West, whole country"
当日,とうじつ,"appointed day, very day"
投書,とうしょ,"letter to the editor, letter from a reader, contribution"
登場,とうじょう,entry on stage
どうせ,どうせ,"anyhow, in any case, at any rate"
灯台,とうだい,lighthouse
盗難,とうなん,"theft, robbery"
当番,とうばん,being on duty
等分,とうぶん,division into equal parts
透明,とうめい,"transparency, cleanness"
灯油,とうゆ,"lamp oil, kerosene"
東洋,とうよう,"the East, the Orient"
童話,どうわ,fairy tale
通り掛かる,とおりかかる,to happen to pass by
溶かす,とかす,"to melt, to dissolve"
尖る,とがる,"to taper to a point, to become sharp"
どきどき,どきどき,"throb, beat fast"
特殊,とくしゅ,"special, unique"
特色,とくしょく,"characteristic, feature"
特定,とくてい,"specific, special, particular"
特売,とくばい,special sale
溶け込む,とけこむ,to melt into; to become a part of
溶ける,とける,"intransitive to melt, to thaw, to fuse, to dissolve"
退ける,どける,"to dislodge, to put something out of the way"
床の間,とこのま,alcove
所々,ところどころ,"here and there, some parts of something"
都心,としん,heart of city
戸棚,とだな,"cupboard, cabinet"
とっくに,とっくに,"long ago, already, a long time ago"
どっと,どっと,suddenly
整う,ととのう,"to be prepared, to be in order, to be arranged"
留まる,とどまる,"to be fixed; to abide, to stay in the one place"
怒鳴る,どなる,"to shout, to yell"
殿,どの,Mister mostly in addressing someone on an envelope
飛び込む,とびこむ,"to jump in, to leap in, to plunge into"
留まる,とまる,"to be fixed; to abide, to stay in the one place"
泊める,とめる,"to give shelter to, to lodge"
ともかく,ともかく,"anyhow, at any rate, anyway"
捕える,とらえる,"to seize, to capture, to arrest"
取り入れる,とりいれる,"to harvest, to take in, to adopt"
取り消す,とりけす,to cancel
取り出す,とりだす,"to take out, to pick out"
採る,とる,"to adopt measure, proposal; to pick fruit"
捕る,とる,"to take, to catch fish"
丼,どんぶり,"porcelain bowl, bowl of rice with food on top"
内科,ないか,"internist clinic, internal medicine"
内線,ないせん,phone extension
長,なが,long ~
仲直り,なかなおり,"reconciliation, make peace with"
長引く,ながびく,"to be prolonged, to drag on"
中身,なかみ,"contents, interior, filling substance, content"
中指,なかゆび,middle finger
仲良し,なかよし,"intimate friend, bosom buddy"
慰める,なぐさめる,"to comfort, to console"
殴る,なぐる,"to strike, to hit, to beat, to punch"
為す,なす,"to accomplish, to do"
謎謎,なぞなぞ,riddle
傾らか,なだらか,"gradual, gentle"
懐かしい,なつかしい,"dear, desired, missed"
撫でる,なでる,"to brush gently, to stroke"
斜め,ななめ,"diagonal, oblique"
なにしろ,なにしろ,"at any rate, in any case"
何しろ,なにしろ,"in any case, at any rate, anyhow, anyway, as you know, for you see, particularly"
何々,なになに,"such and such, What?"
何分,なにぶん,"by all means, please"
生意気,なまいき,"impertinent, impudent"
生意気な,なまいきな,"impertinent, saucy, cheeky, impudent, audacious, cocky, pert, brash"
並木,なみき,"roadside tree, row of trees"
倣う,ならう,"to imitate, to follow, to emulate"
生る,なる,to bear fruit
南極,なんきょく,"south pole, Antarctic"
なんとなく,なんとなく,"somehow or other, for some reason or another"
なんとも,なんとも,"nothing with neg. verb, quite, not a bit"
何とも,なんとも,"really, very, extremely, terribly, awfully not anything, not at all, not a bit"
南米,なんべい,South America
南北,なんぼく,south and north
匂う,におう,"to be fragrant, to smell"
逃がす,にがす,"to let loose, to set free, to let escape"
憎い,にくい,"hateful, abominable, detestable"
憎む,にくむ,"to hate, to detest"
憎らしい,にくらしい,"odious, hateful"
濁る,にごる,"to become muddy, to get cloudy"
虹,にじ,rainbow
日時,にちじ,date and time
日用品,にちようひん,daily necessities
日課,にっか,"daily work, daily routine"
日程,にってい,schedule
鈍い,にぶい,"dull e.g., a knife, thickheaded, slow opposite of fast, stupid"
入社,にゅうしゃ,entry to a company
女房,にょうぼう,wife
睨む,にらむ,"to glare at, to stare; to keep an eye on"
煮る,にる,"to boil, to simmer, to stew, seethe"
俄,にわか,"sudden, abrupt, unexpected"
縫う,ぬう,to sew
ねじ,ねじ,a screw
捩る,ねじる,to twist
熱する,ねっする,to heat
寝間着,ねまき,"sleep-wear, pajamas"
寝巻,ねまき,"sleep-wear, pajamas"
狙い,ねらい,aim
狙う,ねらう,to aim at
年度,ねんど,"year, fiscal year"
農産物,のうさんぶつ,agricultural produce
農村,のうそん,agricultural community
濃度,のうど,"concentration, density"
農薬,のうやく,agricultural chemicals
能率,のうりつ,efficiency
のこぎり,のこぎり,saw
残らず,のこらず,"completely, without exception"
上り,のぼり,"up-train going to Tokyo, ascent"
糊,のり,"glue, paste, starch"
乗換,のりかえ,"a transfer e.g., trains, buses"
乗り換え,のりかえ,"n transfer trains, buses, etc."
乗り越し,のりこし,riding past one's station
鈍い,のろい,"dull e.g., a knife, slow opposite of fast, stupid"
のろのろ,のろのろ,"slowly, sluggishly"
呑気,のんき,"carefree, optimistic, careless"
灰色,はいいろ,"grey, ashen"
俳句,はいく,haiku poetry
売店,ばいてん,"shop, stand"
売買,ばいばい,"trade, buying and selling"
這う,はう,"to creep, to crawl"
剥す,はがす,"to tear off, to peel off, to rip off"
剥がす,はがす,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach, to disconnect"
ばからしい,ばからしい,absurd
秤,はかり,"scales, weighing machine"
吐き気,はきけ,"nausea, sickness in the stomach"
はきはき,はきはき,clearly
掃く,はく,"to sweep, to brush, to gather up"
歯車,はぐるま,"gear, cog-wheel"
バケツ,バケツ,"bucket, pail"
挟まる,はさまる,"to get between, to be caught in"
挟む,はさむ,to pinch; to hold between; to insert
梯子,はしご,"ladder, stairs"
始めに,はじめに,"to begin with, first of all"
初めに,はじめに,"to begin with, first of all"
はじめまして,はじめまして,"How do you do, I am glad to meet you"
斜,はす,diagonal
外れる,はずれる,"to be disconnected, to get out of place, to be off, to be out e.g., of gear"
肌着,はだぎ,underwear
果して,はたして,"as was expected, really"
果たして,はたして,"as was expected, just as one thought, sure enough"
鉢,はち,"a bowl, a pot"
発,はつ,"to depart e.g., on a plane, train"
発揮,はっき,"exhibition, demonstration, display"
発想,はっそう,idea; way of thinking same as 考え方 かんがえかた
発電,はつでん,"generation e.g., power"
発売,はつばい,sale
派手,はで,"showy, loud, flashy, gaudy"
話合い,はなしあい,"discussion, talk"
話し合い,はなしあい,"discussion, talk, conference"
話し掛ける,はなしかける,"to accost a person, to talk to someone"
話中,はなしちゅう,"while talking, the line is busy"
甚だしい,はなはだしい,"extreme, excessive, terrible"
花火,はなび,fireworks
花嫁,はなよめ,bride
ばね,ばね,"spring e.g., coil, leaf"
跳ねる,はねる,"to jump, to leap"
破片,はへん,"fragment, broken piece"
歯磨き,はみがき,"toothbrushing, toothpaste"
はめる,はめる,"col to get in, to insert, to put on"
早口,はやくち,fast-talking
払い込む,はらいこむ,"to deposit, to pay in"
払い戻す,はらいもどす,"to repay, to pay back"
針金,はりがね,wire
張り切る,はりきる,"to be in high spirits, to be full of vigor"
反,はん,"anti ~, counter ~"
反映,はんえい,"reflection, influence"
半径,はんけい,radius
判子,はんこ,seal used for signature
万歳,ばんざい,"banzai, Long live ~!"
判事,はんじ,"judge, justice"
反省,はんせい,"reflection, reconsideration"
番地,ばんち,"house number, address"
半島,はんとう,peninsula
非,ひ,"anti~, counter~, an~, non~"
日当たり,ひあたり,"exposure to the sun, sunny place"
日帰り,ひがえり,day trip
比較的,ひかくてき,comparatively; relatively
日陰,ひかげ,shadow
ぴかぴか,ぴかぴか,"glitter, sparkle"
引受る,ひきうける,"to undertake, to take up, to take over"
引き返す,ひきかえす,"to turn back, to go back, reverse"
引算,ひきざん,subtraction
引き出す,ひきだす,"to pull out, to take out, to withdraw"
引き止める,ひきとめる,"to keep back, to prevent, to hold back"
卑怯,ひきょう,"cowardice, meanness, unfairness"
引分け,ひきわけ,"a draw in competition, tie game"
引き分け,ひきわけ,"draw in competition, tie game"
陽射,ひざし,"sunlight, rays of the sun"
日差し,ひざし,sunlight
肘,ひじ,elbow
引っ掛かる,ひっかかる,"to be caught in, to be stuck in"
筆記,ひっき,"note taking, writing"
引っ繰り返す,ひっくりかえす,"to turn over, to overturn, to knock over"
引っ繰り返る,ひっくりかえる,"to be overturned, to be upset, to topple over, to be reversed"
引っ越し,ひっこし,"moving dwelling, office, etc., changing residence"
引っ込む,ひっこむ,"to draw back, to sink, to cave in"
筆者,ひっしゃ,"writer, author"
必需品,ひつじゅひん,"necessities, essential"
一,ひと,one ~
人差指,ひとさしゆび,index finger
一通り,ひととおり,"general, briefly"
人通り,ひとどおり,pedestrian traffic
ひとまず,ひとまず,"for the present, once, for the time being"
瞳,ひとみ,pupil of eye
一休み,ひとやすみ,a rest
独り言,ひとりごと,"a soliloquy, a monologue, speaking to oneself"
皮肉,ひにく,"cynicism, sarcasm"
日日,ひにち,date
日にち,ひにち,"date of a planned event, act, etc., day"
捻る,ひねる,"to twist, to turn"
日の入り,ひのいり,sunset
日の出,ひので,sunrise
響き,ひびき,"echo, sound"
響く,ひびく,to resound; to affect
皮膚,ひふ,skin
冷やす,ひやす,"to cool from room temperature, to chill, to refrigerate"
ひゃっかじてん,ひゃっかじてん,encyclopedia
百科事典,ひゃっかじてん,encyclopedia
美容,びよう,beauty of figure or form
表紙,ひょうし,"front cover, binding"
標識,ひょうしき,"sign, mark"
標準,ひょうじゅん,"standard, level"
標本,ひょうほん,"example, specimen"
評論,ひょうろん,"criticism, critique"
昼寝,ひるね,"nap at home, siesta"
広げる,ひろげる,"to spread, to extend, to expand, to enlarge, to widen, to broaden"
広さ,ひろさ,extent
広場,ひろば,plaza
広々,ひろびろ,"extensive, spacious"
便箋,びんせん,"writing paper, stationery"
瓶詰,びんづめ,"bottling, bottled"
風船,ふうせん,balloon
不運,ふうん,"unlucky, misfortune, bad luck"
深まる,ふかまる,"to deepen, to heighten, to intensify"
不規則,ふきそく,"irregularity, unsteadiness"
普及,ふきゅう,"diffusion, spread"
付近,ふきん,"neighborhood, vicinity"
副,ふく,vice ~
副詞,ふくし,adverb
複写,ふくしゃ,"copy, duplicate"
複数,ふくすう,"plural, multiple"
ふくめる,ふくめる,"to include, to instruct, to make one understand"
膨らます,ふくらます,"to swell, to expand, to inflate"
膨らむ,ふくらむ,"to expand, to swell out, to become inflated"
不潔,ふけつ,"unclean, dirty"
更ける,ふける,"to get late, to wear on"
符号,ふごう,"sign, mark, symbol"
夫妻,ふさい,"man and wife, married couple"
塞がる,ふさがる,"to be plugged up, to be shut up"
塞ぐ,ふさぐ,"to stuff, to close up, to block up"
ふざける,ふざける,"to romp, to gambol, to frolic"
無沙汰,ぶさた,neglecting to stay in contact
武士,ぶし,"warrior, samurai"
部首,ぶしゅ,radical of a kanji character
蒸す,ふす,"to steam food, towel, etc. to be hot and humid, to be sultry"
襖,ふすま,sliding screen
附属,ふぞく,"attached, belonging, affiliated"
付属,ふぞく,"being attached to, being affiliated to, belonging to, going with"
蓋,ふた,"cover, lid, cap"
不通,ふつう,"suspension, interruption, stoppage, tie-up, cessation"
物騒,ぶっそう,"dangerous, disturbed, insecure"
ぶつぶつ,ぶつぶつ,"grumbling, complaining in a small voice"
船便,ふなびん,surface mail ship
部品,ぶひん,"parts, accessories"
吹雪,ふぶき,snow storm
父母,ふぼ,"father and mother, parents"
踏切,ふみきり,"railway crossing, level crossing, starting line, scratch, crossover"
麓,ふもと,"the foot, the bottom, the base of a mountain"
振り仮名,ふりがな,pronunciation key
振り向く,ふりむく,"to turn one's face, to turn around"
古,ふる,old ~
故郷,ふるさと,"home town, birthplace"
古里,ふるさと,"home town, birthplace"
振舞う,ふるまう,"to behave, to conduct"
風呂敷,ふろしき,"wrapping cloth, cloth wrapper"
ふわふわ,ふわふわ,"light, soft"
噴火,ふんか,eruption
分解,ぶんかい,"analysis, disassembly"
文芸,ぶんげい,"literature, art and literature"
文献,ぶんけん,"literature, books reference"
噴水,ふんすい,water fountain
分数,ぶんすう,fraction in math
文体,ぶんたい,literary style
分布,ぶんぷ,distribution
文房具,ぶんぼうぐ,stationery
文脈,ぶんみゃく,context
分量,ぶんりょう,"amount, quantity"
分類,ぶんるい,classification
閉会,へいかい,closure
平気,へいき,"coolness, calmness, unconcern"
並行,へいこう,"going side by side, concurrent, at the same time"
平日,へいじつ,weekday
兵隊,へいたい,soldier
平凡,へいぼん,"common, ordinary"
平野,へいや,"plain, open field"
凹む,へこむ,"to be dented, to be indented"
隔てる,へだてる,to be shut out
別荘,べっそう,villa; vacation home; summer cottage
別々,べつべつ,"separately, individually"
編集,へんしゅう,"editing, compilation, editorial e.g., committee"
便所,べんじょ,"toilet, lavatory"
防,ぼう,~ prevention
望遠鏡,ぼうえんきょう,telescope
方角,ほうがく,"direction, way"
箒,ほうき,broom
方言,ほうげん,dialect
坊さん,ぼうさん,"Buddhist priest, monk"
防止,ぼうし,"prevention, check"
方針,ほうしん,"objective, plan, policy"
包装,ほうそう,"packing, wrapping"
法則,ほうそく,"law, rule"
包帯,ほうたい,bandage
膨大,ぼうだい,"enormous, extensive"
包丁,ほうちょう,"kitchen knife, carving knife"
方程式,ほうていしき,equation
防犯,ぼうはん,prevention of crime
方面,ほうめん,direction; area
坊や,ぼうや,boy
放る,ほうる,to let go
朗らか,ほがらか,"bright, cheerful, melodious"
朗らかな,ほがらかな,"cheerful, merry bright sky, day, etc., fine, clear"
牧場,ぼくじょう,farm livestock; pasture land
牧畜,ぼくちく,stock-farming
保健,ほけん,"health preservation, hygiene, sanitation"
募集,ぼしゅう,recruitment
